file,shape,vowel,F1,F2,F3,frame,syllable,stress
coocoo-2,CVːCVː,o:,424.3065023,1144.092862,2475.515427,2,1,1
coocoo-2,CVːCVː,o,475.4704697,1253.055938,2936.419863,2,2,0
coocoo-3,CVːCVː,o:,631.3583941,1638.80565,2428.458741,1,1,1
coocoo-3,CVːCVː,o,492.5090809,1326.99792,2416.91439,1,2,0
coocoo-3,CVːCVː,o:,470.4997234,1331.000776,2484.599336,2,1,1
coocoo-3,CVːCVː,o,428.7293398,1178.548298,2519.364965,2,2,0
coocoo,CVːCVː,o:,499.8860154,1213.653659,2389.753653,1,1,1
coocoo,CVːCVː,o,451.5276379,1076.656426,2966.282962,1,2,0
coocoo,CVːCVː,o:,433.6967078,1207.954608,2455.11625,2,1,1
coocoo,CVːCVː,o,455.6477877,1207.03355,2911.896893,2,2,0
coota-2,CVːCV,o:,546.1431926,1372.757077,2361.3453,1,1,1
coota-2,CVːCV,ə,520.0429736,1494.635989,2801.238254,1,2,0
coota-3,CVːCV,o:,535.7138904,1395.544487,2427.718043,1,1,1
coota-3,CVːCV,ə,536.9866002,1430.274024,2797.94244,1,2,0
coota-3,CVːCV,o:,588.2695106,1536.801632,2527.072911,2,1,1
coota-3,CVːCV,ə,541.109332,1725.812151,3020.388693,2,2,0
cootə,CVːCV,o:,535.2776407,1378.144879,2796.235891,1,1,1
cootə,CVːCV,ə,522.900937606394,1230.65339853029,2924.22918687031,1,2,0
cootə,CVːCV,o:,461.6122688,959.3697356,2230.78862,2,1,1
cootə,CVːCV,ə,456.0047135,1329.192273,2897.091899,2,2,0
cupa-2,CVCV,ə,438.5343202,1253.46904,2581.064616,1,1,1
cupa-2,CVCV,ə,711.4516688,1755.010319,2979.587408,1,2,0
cupa-2,CVCV,ə,402.1913984,1164.661871,2713.072753,2,1,1
cupa-2,CVCV,ə,505.6642253,1338.859116,2848.618865,2,2,0
cupa-3,CVCV,ə,619.2046772,1550.308555,2771.609534,1,1,1
cupa-3,CVCV,ə,591.8673449,1611.545752,2684.175972,1,2,0
cupa-3,CVCV,ə,581.4162987,1556.201532,2719.26425,2,1,1
cupa-3,CVCV,ə,719.2351299,1807.762242,2964.542135,2,2,0
cupa,CVCV,ə,586.5346771,1383.271442,2878.610356,1,1,1
cupa,CVCV,ə,473.8977275,1420.052471,2874.276031,1,2,0
cupa,CVCV,ə,439.0143577,1349.789556,2808.353714,2,1,1
cupa,CVCV,ə,484.8438421,1350.490758,2841.974484,2,2,0
cuthach-2,CVCax,ə,784.2273891,1799.804577,2791.778629,1,1,0
cuthach-2,CVCax,a,777.5983594,1645.327561,2908.014768,1,2,1
cuthach-2,CVCax,ə,367.5840852,1354.605676,2653.744169,2,1,0
cuthach-2,CVCax,ə,598.0380429,1357.061534,2611.816113,2,2,1
cuthach,CVCax,ə,1044.885813,2022.491233,3121.775037,1,1,0
cuthach,CVCax,a,636.5597791,1351.962267,2837.272442,1,2,1
cuthach,CVCax,ə,535.1017753,1557.338047,2877.017254,2,1,0
cuthach,CVCax,ə,562.4448272,1279.128185,2709.087455,2,2,1
daata-2,CVːCV,a:,618.3992156,1571.581408,2627.056138,1,1,1
daata-2,CVːCV,ə,349.222347,1267.499631,2483.981927,1,2,0
daata-2,CVːCV,a:,560.4207841,1438.516897,2717.285677,2,1,1
daata-2,CVːCV,ə,354.4053813,1354.384442,2818.781783,2,2,0
daata-3,CVːCV,a:,601.2871639,1677.249599,2667.265441,1,1,1
daata-3,CVːCV,ə,342.0704705,1237.446646,2547.492088,1,2,0
daata-3,CVːCV,a:,581.4785105,1361.71502,2525.738579,2,1,1
daata-3,CVːCV,ə,519.4980315,1592.57509,2958.452551,2,2,0
daata,CVːCV,a:,561.1901161,1313.649952,2629.43146,1,1,1
daata,CVːCV,ə,423.3629032,1531.011077,2919.959806,1,2,0
daata,CVːCV,a:,518.0245945,1309.340678,2480.54427,2,1,1
daata,CVːCV,ə,463.116248,1149.573916,2800.073367,2,2,0
daatii-2,CVːCVː,a:,600.8118046,1575.529903,2662.375988,1,1,1
daatii-2,CVːCVː,i,326.4706855,1834.660855,2854.692447,1,2,0
daatii-2,CVːCVː,a:,501.3499633,1372.401041,2617.339645,2,1,1
daatii-2,CVːCVː,i:,354.2674069,1722.259209,2866.288985,2,2,0
daatii-3,CVːCVː,a:,598.2320794,1533.353663,2588.01776,1,1,1
daatii-3,CVːCVː,i,306.5883628,2032.621767,2987.529032,1,2,0
daatii-3,CVːCVː,a:,537.3146324,1384.755295,2588.024462,2,1,1
daatii-3,CVːCVː,i:,308.015302,1810.953012,2912.028163,2,2,0
daatii,CVːCVː,a:,562.8928125,1320.5714,2686.885466,1,1,1
daatii,CVːCVː,i:,281.4014918,2174.170662,3108.779405,1,2,0
daatii,CVːCVː,a:,502.6713038,1450.812211,2891.871274,2,1,1
daatii,CVːCVː,i:,319.7692431,1876.466721,3030.848078,2,2,0
dasach-2,CVCax,æ,616.4491386,1622.391478,2710.370937,1,1,0
dasach-2,CVCax,ə,589.7158135,1448.965589,2580.189466,1,2,1
dasach-2,CVCax,æ,543.5989649,1554.378956,2836.240244,2,1,0
dasach-2,CVCax,ə,517.2063711,1320.105401,2760.990532,2,2,1
dasach,CVCax,æ,563.2817628,1596.150773,2764.600352,1,1,0
dasach,CVCax,ə,569.7254028,1441.971901,2664.24638,1,2,1
dasach,CVCax,æ,606.1250824,1670.796955,2908.679302,2,1,0
dasach,CVCax,ə,541.464352,1468.480752,2826.669264,2,2,1
datach-2,CVCax,ə,496.5152523,1682.613343,2740.308924,1,1,0
datach-2,CVCax,a,675.9044603,1564.001761,2660.654215,1,2,1
datach-2,CVCax,ə,445.1031954,1505.173809,2279.175987,2,1,0
datach-2,CVCax,a,691.2946527,1532.231957,2440.584913,2,2,1
datach-3,CVCax,ə,463.0353602,1377.930832,2922.038248,1,1,0
datach-3,CVCax,a,828.1352428,1805.032075,2739.131522,1,2,1
datach-3,CVCax,ə,454.9027528,1350.124164,3020.91388,2,1,0
datach-3,CVCax,a,663.3351997,1610.271624,2841.601308,2,2,1
datach,CVCax,ə,442.3688729,1535.936608,2785.580353,1,1,0
datach,CVCax,a,665.8647865,1703.174848,3037.483677,1,2,1
datach,CVCax,ə,387.02778,1360.541544,2905.717613,2,1,0
datach,CVCax,a,635.4842199,1514.750526,2851.537078,2,2,1
datuu-2,CVCVː,æ,625.9781495,1576.260221,2723.872803,1,1,0
datuu-2,CVCVː,u:,349.2113844,1134.205737,2748.340791,1,2,1
datuu-2,CVCVː,æ,513.8621307,1529.108292,2967.165468,2,1,0
datuu-2,CVCVː,u:,346.2523071,1085.759877,2781.236798,2,2,1
datuu-3,CVCVː,æ,637.8570678,1677.834675,2931.385048,1,1,0
datuu-3,CVCVː,u:,456.9619966,1341.756979,2567.359017,1,2,1
datuu-3,CVCVː,æ,548.4071315,1563.02872,2677.046007,2,1,0
datuu-3,CVCVː,u:,389.5202048,1266.87687,2671.024024,2,2,1
datuu,CVCVː,æ,634.8057853,1640.603902,2925.172697,1,1,0
datuu,CVCVː,u:,368.0268801,1056.416775,2556.271962,1,2,1
datuu,CVCVː,æ,479.8944067,1538.079859,2925.417229,2,1,0
datuu,CVCVː,u:,356.6587938,1284.676358,2811.924063,2,2,1
deasach,CVCax,i,398.8468659,1938.320928,2915.953304,1,1,0
,CVCax,,,,,1,2,1
