file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3
cachtach-3,a,741.1288121,1460.77552,2831.637667,cachtach-3,ə,646.0490861,1665.936541,2852.493401,cachtach-3,a,731.0813109,1616.884072,2793.233296,cachtach-3,x,1013.490889,2189.787808,3190.974689,cachtach-3,_,1084.902822,2345.107104,3324.198707,cachtach-3,_,575.0398024,1349.927264,2691.800244,cachtach-3,x,1096.537458,2629.634244,3431.317268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cachtach,a,657.2013124,1497.824729,2637.141711,cachtach,,,,,cachtach,a,654.8799067,1443.582047,2942.084769,cachtach,x,1131.58108,2270.137522,3232.126371,cachtach,closure,1181.458402,2425.011623,3412.12163,cachtach,t burst,459.4569819,1729.462,2967.424008,cachtach,_,518.8622888,1239.256111,2511.186153,cachtach,x,944.576508,2319.791783,3337.185068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cata-2,a,615.0707703,1797.127033,2942.720313,cata-2,ə,342.8281495,1683.742275,3001.90906,cata-2,a,478.5458497,1816.784148,2855.470739,cata-2,closure,1200.004846,2724.798587,3583.532155,cata-2,t burst,964.2400388,2250.623508,3101.260222,cata-2,_,418.9547608,1788.389437,2927.797202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cata-3,a,817.5548391,1959.471691,3046.682624,cata-3,ə,509.5271034,1809.300661,2937.600871,cata-3,a,600.8142671,1691.867974,2876.990225,cata-3,closure,939.7485231,2593.149932,3241.875327,cata-3,t burst,606.4216525,2147.964443,2980.826018,cata-3,_,390.7912952,1494.022531,2742.481983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cata,a,408.2324927,1730.200904,2835.817979,cata,ə,371.4439648,1805.917298,3094.937281,cata,a,564.366401,1718.838619,2971.858516,cata,closure,900.6824098,2367.297213,3380.96577,cata,t burst,835.1241774,2167.23162,2968.214009,cata,_,314.2740765,1760.70513,2676.746407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catach-2,ə,432.6239363,1407.679401,2574.582344,catach-2,a,553.4298607,1248.83839,2849.361056,catach-2,ə,611.4295899,1361.006087,2863.051353,catach-2,closure,1024.571281,2493.483854,3306.132937,catach-2,t burst,368.2483969,1358.531482,2830.115545,catach-2,_,471.8201603,1068.887579,2649.14166,catach-2,x,1011.532824,2437.009573,3350.981514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catach-3,ə,442.222766,1361.363792,2559.065424,catach-3,a,724.0776731,1662.641632,2580.302558,catach-3,ə,375.2518827,1270.8738,2518.954441,catach-3,closure,884.5318343,2310.532193,3362.924718,catach-3,t burst,962.5868985,1937.504243,3265.70047,catach-3,a,558.9230466,1297.829022,2533.739091,catach-3,x,1043.322979,2047.077942,2858.21998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catach-4,ə,508.587706,1632.932197,2932.193921,catach-4,a,688.7054337,1521.795823,2680.223455,catach-4,ə,469.0944285,1357.304261,2696.279881,catach-4,closure,994.5918086,2382.093148,3524.350538,catach-4,t burst,626.099273,1854.067266,3167.452816,catach-4,a,732.2208943,1738.61018,2758.063643,catach-4,x,1042.709029,2080.440377,3078.338242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catach,ə,537.3240874,1271.768116,3103.208055,catach,a,693.1110758,1805.075659,3036.035712,catach,ə,479.8785504,1432.378292,2694.211287,catach,_,859.1284265,2318.742131,3381.394646,catach,_,582.5052692,1473.283628,2577.304714,catach,x,1015.125369,2523.979716,3527.542793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coocoo-2,o:,578.1151634,1439.949286,2643.817517,coocoo-2,o:,550.559294,1596.97713,2678.251644,coocoo-2,o:,424.3065023,1144.092862,2475.515427,coocoo-2,closure,595.8424526,1798.735063,3180.865389,coocoo-2,k burst,633.8028841,1072.327683,3043.249783,coocoo-2,o,475.4704697,1253.055938,2936.419863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
