soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3
hitach,h,551.7710482,1967.928018,2975.564509,hitach,i,287.4059281,1875.998543,2541.180869,hitach,closure,570.0676628,1967.587541,3005.12899,hitach,t burst,1419.180257,2743.341768,3502.085523,hitach,_,576.4150241,1418.566674,2628.703055,hitach,x,934.4891322,2199.141452,3239.524652,hitach,h,988.7149392,2304.040298,3066.375667,hitach,i,304.2696181,1731.577839,2516.939209,hitach,closure,1623.164058,2611.586047,3446.891169,hitach,t burst,923.8825175,2053.247422,2935.810727,hitach,_,581.3143955,1385.352001,2652.731647,hitach,x,1017.264551,2284.883248,3300.185579,,,,,,,,,,,,,,,,,,,,
huutach-2,h,461.4849831,1512.330201,2755.528588,huutach-2,u,528.2976797,1425.492406,2398.825349,huutach-2,closure,515.5120328,2279.123578,3362.387963,huutach-2,t burst,725.1968537,2038.629833,3277.642952,huutach-2,_,670.2220297,1588.789952,2821.475017,huutach-2,x,1016.136719,2440.577472,3475.851213,huutach-2,h,279.266428,1037.628693,2409.364222,huutach-2,u,400.7422517,1356.713131,2585.149596,huutach-2,closure,1165.286251,2510.878643,3537.313407,huutach-2,t burst,793.5617404,2015.301098,3102.870753,huutach-2,_,560.4056596,1342.460348,2644.785578,huutach-2,x,953.2601976,2573.525115,3525.904458,,,,,,,,,,,,,,,,,,,,
huutach-3,h,416.3718807,1487.997606,2760.71077,huutach-3,u,565.589193,1355.284588,2446.375222,huutach-3,closure,644.4646684,2259.390556,3291.053677,huutach-3,t burst,1171.807913,2290.462494,3369.508723,huutach-3,_,661.9443219,1653.671454,2783.91382,huutach-3,x,955.5872348,1959.459039,2979.989131,huutach-3,h,554.6142048,1872.997887,3194.467529,huutach-3,u,425.2154175,1246.442098,2693.632669,huutach-3,closure,852.7815284,2159.411777,3331.586651,huutach-3,t burst,833.1280861,1979.561045,3161.377124,huutach-3,_,509.1799803,1267.877459,2623.786966,huutach-3,x,951.5883567,2247.201498,3031.095508,,,,,,,,,,,,,,,,,,,,
huutach,h,565.8707234,1693.511718,2907.631081,huutach,u,370.0978931,1204.53768,2678.667586,huutach,closure,1333.584967,2368.683911,3479.157359,huutach,t burst,463.0866381,1751.382558,2957.318475,huutach,_,519.2642807,1316.828935,2363.039649,huutach,x,998.6470814,2564.204077,3599.607918,huutach,h,248.3770757,987.2027441,2703.07138,huutach,u,364.5606378,1134.879598,2462.521855,huutach,closure,1313.484175,2639.04354,3708.179161,huutach,t burst,1009.020191,2288.772838,3486.445526,huutach,_,566.399065,1314.839299,2679.257836,huutach,x,969.6596124,2214.875685,3330.429831,,,,,,,,,,,,,,,,,,,,
leachtach-2,l_,351.7798253,1502.794836,2853.677809,leachtach-2,a,730.5985367,1669.290824,2850.04895,leachtach-2,x,871.6294459,1565.933086,2847.908018,leachtach-2,_,1296.79333,2519.597345,3461.136436,leachtach-2,_,632.3074549,1577.615159,2583.435596,leachtach-2,x,994.6153325,2279.403581,3183.232853,leachtach-2,l_,350.1221891,1268.434603,2885.986981,leachtach-2,a,561.0889103,1377.320788,2676.467976,leachtach-2,x,871.0008876,2209.082957,3269.763756,leachtach-2,closure,1459.865942,2767.621787,3641.724831,leachtach-2,t burst,350.5938725,1464.774847,2822.710945,leachtach-2,_,572.8764707,1309.948241,2736.206462,leachtach-2,x,999.8292737,2232.095018,3119.940744,,,,,,,,,,,,,,,
leachtach-3,l,437.557762,1646.013377,2904.882583,leachtach-3,¾,792.7958779,1616.724098,2508.951701,leachtach-3,x,951.9181229,1925.029688,2936.728576,leachtach-3,closure,1236.229852,2432.50326,3432.539484,leachtach-3,t burst,769.8446684,1972.665903,3491.955557,leachtach-3,_,564.8164161,1565.740269,2859.333086,leachtach-3,x,969.5533276,2115.516194,3119.397826,leachtach-3,l,381.4291229,1413.892061,2554.61753,leachtach-3,¾,786.7663706,1851.890652,3002.306452,leachtach-3,x,881.3137252,1901.665517,3069.010743,leachtach-3,closure,1266.620863,2751.602603,3572.278429,leachtach-3,t burst,346.223969,1391.869692,2973.135956,leachtach-3,_,554.2284717,1392.540145,2687.442712,leachtach-3,x,892.537514,2169.815906,3108.987437,,,,,,,,,,
leachtach,l,369.3819496,1375.003749,2698.210058,leachtach,¾,646.3054734,1582.013048,2762.620258,leachtach,x,940.357571,1942.605988,2993.393169,leachtach,closure,913.5350882,2238.187604,3439.871451,leachtach,t burst,448.4429429,1551.349214,2920.040598,leachtach,_,643.9422941,1568.670442,2841.672169,leachtach,x,907.961543,1965.089627,3056.375189,leachtach,l,325.4771825,1332.7869,2821.510249,leachtach,¾,648.6597987,1558.319952,2963.569988,leachtach,x,930.4088562,2106.35855,3227.445135,leachtach,closure,984.2798015,2505.686675,3517.586943,leachtach,t burst,586.4135933,1665.340031,3021.502988,leachtach,_,415.202595,1050.178917,2514.100182,leachtach,x,894.9959864,2263.033028,3294.698603,,,,,,,,,,
paapa-2,closure,661.8674651,2171.146559,3282.152355,paapa-2,p burst,674.7430545,1901.236658,3180.75438,paapa-2,a,623.0967488,1157.24315,2225.47253,paapa-2,closure,686.7850471,1585.628216,3180.554612,paapa-2,p burst,707.9836088,1700.898856,3249.547279,paapa-2,_,463.0434183,1345.050682,2601.541232,paapa-2,closure,1266.675565,2296.573572,3550.787861,paapa-2,p burst,644.0054372,1613.87325,2975.521009,paapa-2,a,677.6323377,1176.205035,2238.748447,paapa-2,closure,702.2146112,1661.567665,3119.187536,paapa-2,p burst,697.3661729,1981.319623,3428.453379,paapa-2,_,494.3298253,1227.556638,2732.388753,,,,,,,,,,,,,,,,,,,,
paapa-3,closure,1149.579986,2492.945993,3694.652381,paapa-3,p burst,696.3455154,1881.085972,3038.586008,paapa-3,a,682.0989798,1440.005647,2643.560661,paapa-3,closure,601.7512809,1355.524254,2836.23752,paapa-3,p burst,236.6908172,1253.55132,2401.228693,paapa-3,_,500.1603882,1264.962645,2682.285313,paapa-3,closure,564.7238745,1694.423612,3073.139618,paapa-3,p burst,612.2334669,1956.614507,2925.650024,paapa-3,a,601.8663557,1396.004665,2515.230519,paapa-3,closure,760.8640162,1763.485239,3205.015549,paapa-3,p burst,665.9968411,2085.715927,3051.01635,paapa-3,_,500.3985549,1545.797644,2850.972779,,,,,,,,,,,,,,,,,,,,
paapa,closure,418.5797912,1928.255355,3314.814521,paapa,p burst,522.4860792,1680.663285,2935.801746,paapa,a,718.4180466,1433.377236,2655.900193,paapa,closure,850.5470721,1932.47003,3299.12286,paapa,p burst,612.3678207,1797.118528,3051.410407,paapa,_,561.6767524,1392.085862,2710.911626,paapa,closure,534.8333357,1845.020033,3201.192431,paapa,p burst,741.9119635,1998.920177,3105.10785,paapa,a,598.4407888,1416.049241,2391.370443,paapa,closure,669.1260695,1610.524158,3184.989351,paapa,p burst,614.2748697,1521.673549,2869.073378,paapa,_,412.9591339,1064.615541,2760.757943,,,,,,,,,,,,,,,,,,,,
paatii-2,closure,310.1927146,1662.36813,3010.601061,paatii-2,p burst,763.6271375,2246.312367,3341.179942,paatii-2,a,702.598855,1681.662441,2648.634874,paatii-2,_,849.391872,2106.836341,3187.310787,paatii-2,i,310.5239598,2091.369832,3016.401688,paatii-2,closure,580.1162766,2003.886915,3249.720389,paatii-2,p burst,532.7287631,1736.11715,2949.842632,paatii-2,a,594.601831,1402.290621,2575.644726,paatii-2,_,806.7001535,2167.719061,3316.738876,paatii-2,i,329.1550195,1763.216699,2842.227822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paatii-3,closure,746.8204811,2171.276535,3453.385152,paatii-3,p burst,671.8655923,2095.873747,3143.732743,paatii-3,a,688.8683427,1545.624618,2470.708491,paatii-3,closure,918.8033899,2251.855186,3387.297126,paatii-3,t burst,257.7489526,1625.335384,2668.116112,paatii-3,i,317.3180701,2081.429075,3191.098165,paatii-3,closure,747.9727107,1908.09592,3198.392483,paatii-3,p burst,611.9054397,1985.214468,3075.966684,paatii-3,a,649.352074,1509.715468,2567.106574,paatii-3,_,887.1109787,2275.061907,3326.488097,paatii-3,i,319.3403166,1845.538973,3032.1269,,,,,,,,,,,,,,,,,,,,,,,,,
paatii,closure,1417.653717,2547.6174,3623.448172,paatii,p burst,693.0940069,2085.347289,3131.924728,paatii,a,626.2008402,1306.887356,2568.432119,paatii,closure,1010.791638,2604.16426,3445.049645,paatii,t burst,357.643026,1780.025295,3060.834724,paatii,i,301.9042177,2073.298989,3110.066882,paatii,closure,741.5269237,1825.786051,3068.647557,paatii,p burst,580.4570043,1916.338133,3030.329871,paatii,a,582.9113656,1185.397238,2711.777064,paatii,closure,956.4507629,2450.049577,3401.107514,paatii,t burst,990.0993596,2269.021161,3475.004169,paatii,i,321.1579048,2035.689749,2866.085468,,,,,,,,,,,,,,,,,,,,
pachta-2,closure,738.8069958,2293.680619,3362.127041,pachta-2,p burst,725.2948563,1473.292352,2890.752255,pachta-2,a,951.4797319,2025.205925,3230.377324,pachta-2,x,1027.566426,2292.224411,3089.105527,pachta-2,closure,1143.233071,2389.314099,3462.836196,pachta-2,t burst,440.8645073,1657.875408,3111.861685,pachta-2,_,647.3010552,1774.816639,2988.978936,pachta-2,closure,484.3035087,1674.732968,3270.686047,pachta-2,p burst,367.892887,1424.115043,2668.24237,pachta-2,a,741.121795,1645.254968,2791.982491,pachta-2,x,800.9632816,2147.33176,3039.305323,pachta-2,closure,1179.66355,2695.033692,3674.503647,pachta-2,t burst,401.4668043,1494.784278,2725.361803,pachta-2,_,554.9250584,1532.420891,2900.352787,,,,,,,,,,
pachta-3,closure,498.6740093,2084.464569,3253.574575,pachta-3,p burst,769.0358738,2433.143586,3382.933357,pachta-3,a,837.9869898,1708.110293,2932.360986,pachta-3,x,995.0891537,2110.609805,3109.141143,pachta-3,closure,1255.755495,2528.155517,3437.895607,pachta-3,t burst,534.3312324,1677.752814,3004.296822,pachta-3,_,668.7007363,1669.166731,2801.49792,pachta-3,closure,310.3323368,1545.686343,2935.488396,pachta-3,p burst,507.9858279,1864.129024,3024.358821,pachta-3,a,720.5189186,1696.563643,2744.675816,pachta-3,x,935.1581737,1992.237296,2989.673163,pachta-3,_,1161.444791,2403.209968,3439.015272,pachta-3,_,585.4101096,1689.059811,2964.114078,,,,,,,,,,,,,,,
pachta,closure,405.3251445,2031.202781,3232.492768,pachta,p burst,591.7630401,1898.138216,3056.024925,pachta,a,781.1006545,1775.138783,3158.960864,pachta,x,1008.363503,1908.455654,3134.53784,pachta,closure,1300.2257,2207.61201,3188.421131,pachta,t burst,708.7479054,1742.83266,3000.865273,pachta,_,496.4835919,1440.867016,2720.324171,pachta,closure,254.5487356,1536.425914,2895.723904,pachta,p burst,733.6030308,1918.923297,2952.930949,pachta,a,711.0226524,1558.527764,2909.039824,pachta,x,1194.816082,2229.579068,3201.982906,pachta,closure,1241.90181,2437.933544,3345.00743,pachta,t burst,859.5578825,2071.317422,3278.884428,pachta,_,391.5177829,1442.126082,2756.359879,,,,,,,,,,
pachtach-2,closure,318.568523,1563.652733,3013.528936,pachtach-2,p burst,723.3942622,2076.10687,3023.948445,pachtach-2,a,674.6865917,1217.110731,2653.932377,pachtach-2,x,1074.778315,1968.629412,3034.708094,pachtach-2,closure,1214.847751,2309.038078,3521.108926,pachtach-2,t burst,1267.579476,2526.993235,3645.453701,pachtach-2,_,571.3106742,1538.777525,2733.490533,pachtach-2,x,944.9031309,2059.092314,3099.128864,pachtach-2,closure,510.1790903,1800.260809,3222.635767,pachtach-2,p burst,543.9152563,1606.588594,2887.710417,pachtach-2,a,857.9623785,1837.253502,2996.692268,pachtach-2,x,940.9440848,2202.255518,3047.44939,pachtach-2,closure,1200.877969,2408.337308,3396.502107,pachtach-2,t burst,944.9156231,2212.972118,3632.9321,pachtach-2,_,634.4138609,1679.331074,2769.207339,pachtach-2,x/breathiness,1066.826487,2595.865316,3229.931707
pachtach-3,closure,392.5686175,1619.972179,3038.027442,pachtach-3,p burst,869.4670997,2195.432785,3273.013146,pachtach-3,a,763.6730809,1580.223359,2792.582799,pachtach-3,x,1035.708475,2022.094767,2990.693275,pachtach-3,closure,1136.480541,2565.907208,3504.174243,pachtach-3,t burst,524.0271952,1569.419437,2906.607336,pachtach-3,_,649.7391847,1594.128003,2502.83406,pachtach-3,x,1009.236989,2204.035303,3043.703992,pachtach-3,closure,530.9995094,1690.442951,3224.265437,pachtach-3,p burst,703.0670518,2086.678662,3136.463217,pachtach-3,a,790.9123274,1720.013293,3044.797521,pachtach-3,x,872.9466635,1768.425781,2952.613984,pachtach-3,_,1270.282076,2627.310797,3507.575984,pachtach-3,_,461.500851,1270.846929,2449.7115,pachtach-3,x,955.0959333,1912.148776,2842.549145,,,,,
pachtach,closure,839.832056,2231.311776,3394.588016,pachtach,p burst,750.3748837,1757.25184,3005.6212,pachtach,a,807.1428035,2108.838929,3020.540236,pachtach,x,977.0847831,2246.154824,3135.838133,pachtach,closure,924.1228564,2478.827201,3274.836608,pachtach,t burst,689.4554506,1878.212548,2899.332059,pachtach,_,515.7569672,1142.326825,2671.549885,pachtach,x,923.9867963,2333.577723,3328.512514,pachtach,closure,846.2150212,2215.555736,3444.846781,pachtach,p burst,609.9726418,1961.813794,3069.599962,pachtach,a,666.152342,1538.252879,2806.879824,pachtach,x,1153.965698,2588.179624,3291.59265,pachtach,closure,767.0523847,2172.051025,3390.482299,pachtach,t burst,767.7801784,1627.557338,2979.017034,pachtach,_,440.8936698,1222.076502,2650.695575,pachtach,x,940.8099135,2174.557003,2782.398787
pachtii-2,closure,586.5763564,2139.77552,3154.981352,pachtii-2,p burst,893.3041884,2361.044406,3279.120157,pachtii-2,a,818.4867255,1534.615486,2626.626966,pachtii-2,x,826.1026266,1722.964239,2875.485932,pachtii-2,_,1014.859008,2421.603819,3533.873252,pachtii-2,i,329.4418378,1996.508546,2829.92701,pachtii-2,closure,315.3786833,1503.919383,2819.658062,pachtii-2,p burst,644.1287025,1907.060752,3123.044596,pachtii-2,a,709.9386671,1594.375844,2504.625291,pachtii-2,x,758.5800974,1498.113002,2897.129628,pachtii-2,_,1279.819487,2590.689745,3458.285634,pachtii-2,i,377.5749409,1541.251893,2792.839626,,,,,,,,,,,,,,,,,,,,
pachtii-3,closure,544.9856532,1752.160014,3139.204071,pachtii-3,p burst,812.9259109,2184.846255,3117.330314,pachtii-3,a,752.6314733,1546.269921,2687.871698,pachtii-3,x,906.3525154,1871.309997,2953.250283,pachtii-3,_,1417.357925,2653.265673,3627.948637,pachtii-3,i,299.6573715,1790.601995,2676.39546,pachtii-3,closure,415.3222038,1674.992211,3096.64443,pachtii-3,p burst,458.5313664,1626.712642,2840.275054,pachtii-3,a,609.1501466,1481.274787,2644.393945,pachtii-3,x,893.0065552,1986.02641,3062.57094,pachtii-3,closure,1638.300823,2627.398227,3590.632652,pachtii-3,t burst,1094.312803,2298.803552,3340.492414,pachtii-3,i,351.1876786,1912.582403,2831.069436,,,,,,,,,,,,,,,
pachtii,closure,303.4900452,1488.939595,2869.119269,pachtii,p burst,670.9299834,1914.542494,3061.154124,pachtii,a,600.8454253,1303.41689,2455.145041,pachtii,x,1232.300258,2198.738101,3347.924326,pachtii,closure,1645.201417,2650.955501,3929.828168,pachtii,t burst,413.9401601,1683.619833,3076.130116,pachtii,i,355.1057411,1798.220483,2892.550271,pachtii,closure,548.4610635,1821.450336,3081.171723,pachtii,p burst,846.98608,2160.64045,3167.988085,pachtii,a,709.754502,1491.019888,2900.935863,pachtii,x,839.6166301,2055.769151,3074.905895,pachtii,closure,953.2487909,2460.135494,3534.775186,pachtii,t burst,374.4885015,1611.113633,3033.197083,pachtii,i,355.849195,1803.199244,2808.446865,,,,,,,,,,
piisa-2,closure,414.534967,1556.262619,2839.175854,piisa-2,p burst,940.4239217,2183.274081,3093.277619,piisa-2,i,248.8997546,1957.983235,2972.254059,piisa-2,s,1334.672953,2568.651963,3379.264833,piisa-2,_,401.721016,1260.342353,2767.294993,piisa-2,closure,442.7153235,1752.161247,3070.411151,piisa-2,p burst,372.6013548,1840.612884,2760.329268,piisa-2,i,262.7305265,2087.99024,3038.489618,piisa-2,s,1638.317262,2764.370943,3906.274743,piisa-2,_,395.6158674,1301.53907,2795.417919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piisa-3,closure,423.4462665,1883.2636,3184.016368,piisa-3,p burst,428.1091226,2021.034391,2813.739537,piisa-3,i,254.0335791,2092.073796,2725.179601,piisa-3,s,1425.781836,2632.347107,3434.968956,piisa-3,_,410.8350155,1364.093199,2789.719499,piisa-3,closure,670.5625747,1734.811798,3069.644829,piisa-3,p burst,681.0566802,2034.488643,2874.925098,piisa-3,i,297.5633738,1868.171134,2980.338879,piisa-3,s,1527.769078,2679.134688,3562.982143,piisa-3,_,328.1485103,1271.141278,2706.088682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piisa,closure,607.1490377,2355.913373,3435.532385,piisa,p burst,1303.138451,2533.726652,3507.336891,piisa,i,235.1313104,2115.243844,3106.466621,piisa,s,1610.927222,2872.449415,3611.958586,piisa,_,399.0389518,1209.020342,2987.086409,piisa,closure,672.3936395,1976.533564,3238.098708,piisa,p burst,543.6761396,1874.742851,2608.62244,piisa,i,284.1108121,1849.667948,3016.803548,piisa,s,821.4641227,2216.832855,3313.573003,piisa,_,238.1674762,1312.310319,2674.002631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pooca-2,closure,518.5256596,1771.138153,3113.888982,pooca-2,p burst,443.880152,1585.650113,2747.458591,pooca-2,o,587.4603393,1605.988828,2558.20997,pooca-2,closure,684.4613375,1760.559674,3211.478472,pooca-2,k burst,777.8817604,1508.299451,2989.125232,pooca-2,_,464.3714072,1306.784289,2685.549106,pooca-2,closure,868.4050858,2057.151143,3282.868313,pooca-2,p burst,608.7402084,1604.973493,2858.57123,pooca-2,o,526.7678486,1596.885817,2333.802567,pooca-2,closure,699.7026268,1901.332569,3351.007263,pooca-2,k burst,996.7897909,1492.221367,3173.343887,pooca-2,_,416.0183323,1166.336235,2709.180249,,,,,,,,,,,,,,,,,,,,
pooca-3,closure,505.4156507,2151.062206,3460.00987,pooca-3,p burst,514.975774,1859.761887,2985.74456,pooca-3,o,544.6100202,1571.626462,2696.016353,pooca-3,closure,554.8067881,1228.51654,2980.596393,pooca-3,k burst,690.0852755,1390.30728,2957.58339,pooca-3,_,381.0494514,1386.326658,2750.496858,pooca-3,closure,391.7342895,1552.308682,2894.455811,pooca-3,p burst,511.7787849,1507.272429,2782.831258,pooca-3,o,516.3250566,1358.914059,2446.411546,pooca-3,closure,739.9713852,1763.542315,3283.646426,pooca-3,k burst,694.9388054,1538.245167,3084.750265,pooca-3,_,411.2561433,1271.193468,2820.289576,,,,,,,,,,,,,,,,,,,,
pooca,closure,1354.799426,2605.476536,3634.760277,pooca,p burst,545.1990474,1776.461915,3180.688498,pooca,o,489.8578425,1425.482356,2827.408073,pooca,closure,697.5975622,2339.890761,3396.854282,pooca,k burst,761.4049393,1460.93109,3092.466646,pooca,_,474.7665061,1222.557177,2832.581408,pooca,closure,1260.195865,2369.260962,3659.225802,pooca,p burst,390.8598956,1376.478072,2849.053395,pooca,o,433.3063472,1112.88223,2350.053013,pooca,closure,780.9814331,2374.54687,3502.949484,pooca,k burst,654.8059061,1430.583738,2909.440822,pooca,_,445.6411223,1150.872081,2841.314558,,,,,,,,,,,,,,,,,,,,
pota-2,closure,618.9737984,2280.988826,3359.684628,pota-2,p burst,765.9107345,2226.5044,3263.693403,pota-2,_,675.0279527,1484.29597,2676.784068,pota-2,closure,785.7516923,2267.920925,3236.493342,pota-2,t burst,1039.329122,2098.46317,3355.723493,pota-2,_,474.7334669,1465.480699,2585.853111,pota-2,closure,685.7604259,1913.470159,3107.239073,pota-2,p burst,958.8069984,2299.53024,3371.775287,pota-2,_,517.7367207,1370.485333,2621.443232,pota-2,closure,1282.452067,2504.129297,3482.378469,pota-2,t burst,907.4398745,2184.233501,3497.095484,pota-2,_,402.1799373,1495.944913,2809.479218,,,,,,,,,,,,,,,,,,,,
pota-3,closure,616.0572384,1884.805437,3323.313417,pota-3,p burst,582.303108,1981.670575,3095.878945,pota-3,_,580.7903241,1539.315097,2619.630296,pota-3,closure,962.5640238,2244.386974,3468.386417,pota-3,t burst,475.8065698,1652.78536,3030.965199,pota-3,_,464.4722028,1418.454666,2675.714909,pota-3,closure,503.2288301,1538.404154,3001.914983,pota-3,p burst,781.1981031,2150.881764,3394.715049,pota-3,_,501.0394334,1439.221696,2791.293166,pota-3,closure,921.2149743,2216.535975,3222.033264,pota-3,t burst,900.7530544,2149.268054,3340.69736,pota-3,_,419.1617103,1556.687638,2912.778624,,,,,,,,,,,,,,,,,,,,
pota,closure,662.1396962,2386.95404,3345.247878,pota,p burst,753.1103186,2039.074868,3150.916956,pota,_,547.5158109,1576.056919,2928.332202,pota,closure,959.4984568,2319.111931,3519.306543,pota,t burst,742.6913757,2003.153852,3271.897264,pota,_,500.5162179,1469.95996,2764.54841,pota,closure,360.9981872,1797.80731,2931.882447,pota,p burst,440.9446662,1530.429192,2777.487769,pota,_,498.0130086,1286.394208,2616.628485,pota,_,694.6838962,2102.264027,3258.922793,pota,_,429.0023924,1390.190277,2936.388342,,,,,,,,,,,,,,,,,,,,,,,,,
saasuu-2,s,1469.722796,2792.865752,3601.044513,saasuu-2,a,580.8216106,1427.840946,2616.888648,saasuu-2,s,1451.193883,2670.762085,3564.424164,saasuu-2,u,330.1393488,1085.125241,2663.211346,saasuu-2,s,1200.128896,2579.182329,3544.525686,saasuu-2,a,488.2604577,1325.826937,2326.842593,saasuu-2,s,1398.89217,2592.757025,3476.629193,saasuu-2,u,404.1237162,1330.318603,2613.753089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saasuu-3,s,1513.534635,2787.096246,3613.415968,saasuu-3,a,446.2762203,1135.442451,2732.303792,saasuu-3,s,848.187369,2414.989446,3383.61051,saasuu-3,u,368.9402105,1161.802621,2539.976563,saasuu-3,s,1434.181569,2615.825214,3377.261195,saasuu-3,a,601.8314404,1491.944249,2530.716028,saasuu-3,s,1581.263468,2695.272518,3578.601708,saasuu-3,u,364.7968441,1283.185832,2526.306877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saasuu,s,1334.100553,2621.324445,3429.815918,saasuu,a,478.1669339,1168.114728,2453.984143,saasuu,s,1175.113307,2446.295721,3403.483304,saasuu,u,349.3805831,970.6965723,2811.233024,saasuu,s,1027.16541,2342.754776,3302.557669,saasuu,a,536.4842436,1442.761518,2605.34184,saasuu,s,1571.639166,2651.563281,3505.31666,saasuu,u,360.5500033,1110.1044,2710.452798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
satii-2,s,1469.908614,2609.743098,3455.38327,satii-2,a,614.4269224,1369.02902,2582.767334,satii-2,closure,1061.555313,2522.39514,3639.789165,satii-2,t burst,1164.9604,2395.210901,3588.338681,satii-2,i,351.5243818,2082.632133,3083.430514,satii-2,s,1661.849965,2640.010251,3642.253009,satii-2,a,610.7344745,1374.25476,2481.104922,satii-2,closure,917.8097564,2280.341698,3388.3397,satii-2,t burst,481.5918518,1816.854433,3020.646509,satii-2,i,338.6535573,1990.765554,3176.140704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
satii-3,s,1128.890698,2502.461716,3384.731487,satii-3,a,584.7167202,1469.356773,2697.676549,satii-3,closure,1350.344639,2647.059342,3701.395164,satii-3,t burst,504.0252915,1872.070893,3035.71982,satii-3,i,295.3895976,1942.712867,2909.838094,satii-3,s,1167.147993,2476.696654,3359.760108,satii-3,a,604.8784575,1350.094996,2880.829608,satii-3,closure,1282.918108,2789.285707,3683.104394,satii-3,t burst,669.7981851,2042.372608,3073.833484,satii-3,i,309.4670124,1956.433887,2959.006449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
satii,s,1293.878932,2568.050566,3491.236911,satii,a,573.1657631,1480.906047,2723.138218,satii,closure,795.2571223,2203.275314,3325.393525,satii,t burst,293.5479275,1623.017859,2939.280528,satii,i,308.3911689,2001.297435,3100.643467,satii,s,1075.622635,2412.420751,3414.062844,satii,a,560.0779342,1570.3921,2652.691607,satii,closure,880.413602,2172.994241,3427.208591,satii,t burst,284.8693961,1636.608586,2923.343321,satii,i,301.6194313,1975.302048,2851.902528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seaapach-2,_,1496.203629,2516.779602,3285.854825,seaapach-2,a,625.3275704,1503.953539,2601.753592,seaapach-2,closure,742.9449823,1726.297827,3019.479766,seaapach-2,p burst,355.0409946,1533.136424,2660.388829,seaapach-2,_,761.5662653,2027.815111,3245.81182,seaapach-2,x,917.3722195,1961.053947,3145.118409,seaapach-2,_,1497.827287,2557.288329,3411.966847,seaapach-2,a,545.950157,1486.591559,2572.958924,seaapach-2,closure,630.5596443,1457.708567,2908.174557,seaapach-2,p burst,666.1734707,1745.71541,2869.792332,seaapach-2,_,588.5964405,1409.137265,2923.946735,seaapach-2,x,997.5576916,2576.655311,3442.959455,,,,,,,,,,,,,,,,,,,,
seaapach-3,_,1177.252237,2313.93638,3223.504778,seaapach-3,a,604.9383126,1357.93723,2505.486609,seaapach-3,closure,525.5866462,1341.313668,2859.092576,seaapach-3,p burst,550.0629447,1690.922435,2942.384677,seaapach-3,_,543.4802419,1230.51611,2894.005603,seaapach-3,x,866.7488374,2323.216733,3416.795501,seaapach-3,_,1690.946353,2690.205775,3577.379276,seaapach-3,a,512.7345749,1297.356853,2608.246096,seaapach-3,closure,677.0820702,1452.60434,3060.776339,seaapach-3,p burst,773.251483,1777.009683,3085.116415,seaapach-3,_,583.8702117,1070.817326,2822.361088,seaapach-3,x,861.1931502,2241.072438,3292.622474,,,,,,,,,,,,,,,,,,,,
seaapach,_,1564.210279,2551.095372,3374.501734,seaapach,a,618.783035,1483.591379,2570.990922,seaapach,closure,704.9244626,1990.920713,3419.983088,seaapach,p burst,251.922452,1097.054143,2751.431176,seaapach,_,688.6306468,1729.601225,2982.146857,seaapach,x,925.6852794,2350.956818,3436.444747,seaapach,_,1016.070954,2214.994552,3115.869693,seaapach,a,514.4659839,1370.639683,2293.528171,seaapach,closure,692.4713425,1926.25582,3367.807822,seaapach,p burst,362.6691235,1220.724544,2638.614372,seaapach,_,506.4968405,1123.546918,2874.149542,seaapach,x,861.5978458,2450.36728,3481.009016,,,,,,,,,,,,,,,,,,,,
seachpa-2,_,1349.382787,2441.765471,3227.205202,seachpa-2,_,606.7168622,1645.365767,2874.600581,seachpa-2,x,1032.962129,2070.360743,3248.075831,seachpa-2,closure,1273.028329,2477.882745,3526.420476,seachpa-2,p burst,418.7638564,1502.864733,2987.063861,seachpa-2,_,747.046509,1745.840292,2778.460715,seachpa-2,_,1556.923382,2551.170177,3399.945818,seachpa-2,_,664.2835041,1690.030058,2873.833376,seachpa-2,x,916.4990166,1950.125471,3075.984955,seachpa-2,closure,1084.661085,2312.69532,3507.600081,seachpa-2,p burst,468.0872719,1383.750117,2624.608213,seachpa-2,_,400.6454,1333.188502,2703.628872,,,,,,,,,,,,,,,,,,,,
