File,1-O1_closure,Normalized,1-O1_burst,Normalized,1-V1,Normalized,1-x1,Normalized,1-O2_closure,Normalized,1-O2_remainder,Normalized,1-V2,Normalized,1-x2,Normalized,2-O1_closure,Normalized,2-O1_burst,Normalized,2-V1,Normalized,2-x1,Normalized,2-O2_closure,Normalized,2-O2_remainder,Normalized,2-V2,Normalized,2-x2,Normalized
fa_s_x.TextGrid,,0,f,205.7942058,a:,164.8351648,,0,,0,s,166.8331668,_,22.97702298,x,216.7832168,,0,f,199.078341,a,235.0230415,,0,,0,s,201.843318,_,76.03686636,x,186.6359447
fa_s_x-2.TextGrid,,0,f,169.4255112,a:,152.872444,,0,,0,s,166.5043817,_,57.44888023,x,228.8218111,,0,f,223.6842105,a,219.7368421,,0,,0,s,200,_,39.47368421,x,232.8947368
fa_s_x-3.TextGrid,,0,f,146.5172138,a:,162.530024,,0,,0,s,140.9127302,_,22.41793435,x,188.1505204,,0,f,171.886121,a,180.4270463,,0,,0,s,200.7117438,_,35.23131673,x,214.5907473
fat_x.TextGrid,,0,f,167.3062164,a,76.74597084,,0,closure,86.72294705,t burst,41.44282425,_,25.32617038,x,239.447429,,0,f,162.4454148,a,129.6943231,,0,closure,133.6244541,t burst,48.47161572,_,69.43231441,x,250.2183406
fat_x-2.TextGrid,,0,f,205.5248619,a,139.2265193,,0,closure,101.6574586,t burst,58.56353591,_,71.82320442,x,333.7016575,,0,f,184.4262295,a,138.9344262,,0,closure,114.3442623,t burst,67.62295082,_,60.24590164,x,282.7868852
fat_x-3.TextGrid,,0,f,148.8162345,a,120.6313416,,0,closure,93.57384442,t burst,39.45885006,_,99.210823,x,306.6516347,,0,f,198.6666667,a,144,,0,closure,118.6666667,t burst,66.66666667,_,84,x,244
f_su_.TextGrid,,0,f,169.5786228,_,62.69270298,,0,,0,s,197.327852,u:,309.352518,,0,,0,f,201.25,_,61.25,,0,,0,s,232.5,u,300,,0
f_su_-2.TextGrid,,0,f,193.0803571,_,91.51785714,,0,,0,s,254.4642857,u:,367.1875,,0,,0,f,164.2585551,_,103.8022814,,0,,0,s,205.3231939,u,217.8707224,,0
f_su_-3.TextGrid,,0,f,150.7321275,_,49.09560724,,0,,0,s,167.0973299,u:,253.2299742,,0,,0,f,194.3319838,_,81.37651822,,0,,0,s,225.9109312,u,225.9109312,,0
ga_f_x.TextGrid,closure,62.71477663,g burst,43.81443299,a:,192.4398625,,0,,0,f,141.7525773,_,37.80068729,x,304.1237113,closure,37.64258555,g burst,46.76806084,a,215.5893536,,0,,0,f,189.3536122,_,53.6121673,x,287.4524715
ga_f_x-2.TextGrid,closure,74.11167513,g burst,41.62436548,a:,244.6700508,,0,,0,f,134.0101523,_,52.79187817,x,230.4568528,closure,91.81034483,g burst,72.4137931,a,293.5344828,,0,,0,f,171.9827586,_,90.51724138,x,166.8103448
ga_f_x-3.TextGrid,closure,93.36099585,g burst,36.30705394,a:,220.9543568,,0,,0,f,133.8174274,_,70.53941909,x,289.4190871,closure,45.76271186, burst,36.61016949,a,204.4067797,,0,,0,f,142.3728814,_,72.20338983,x,278.6440678
gaxto_.TextGrid,closure,45.37037037,g burst,46.2962963,a,56.48148148,x,148.1481481,closure,82.40740741,t burst,25.92592593,o:,219.4444444,,0,closure,47.10743802,g burst,38.84297521,a,79.33884298,x,109.0909091,closure,89.25619835,t burst,14.87603306,o,171.0743802,,0
